Level,Code,Class title,Element Type Label English,Element Description English,,,,
4,0013,"Senior managers - financial, communications and other business services",Illustrative example(s),"president and chief executive officer - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",Illustrative example(s),trust company regional vice-president ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,advertising agency president ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"assistant executive director - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,bank credit vice-president ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,bank president ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"chairman/woman - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"chairperson - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"chief executive officer (CEO) - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,chief executive officer (CEO) - telephone company ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,chief financial officer (CFO) - advertising agency ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"chief financial officer (CFO) - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,chief operating officer - engineering firm ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"chief operating officer - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"chief privacy officer - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,computing services company president ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"controller - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,corporate banking vice-president ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"corporate controller - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,corporate controller - mortgage brokerage firm ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,credit union executive director ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,credit union general manager ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"deputy chief executive officer - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,deputy chief executive officer - life insurance company ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,domestic banking operations vice-president ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,employment agency general manager ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,engineering firm president ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,engineering research general manager ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"engineering vice-president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"executive director - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"executive vice-president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,executive vice-president - real estate agency ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"finance and administration vice-president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"finance vice-president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,finance vice-president - holding company ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"general manager - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,general manager - real estate management company ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"human resources and organizational development vice-president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,human resources vice-president - bank ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"human resources vice-president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"information systems vice-president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,insurance company general manager ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,international banking operations vice-president ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,marketing vice-president - clerical staff services ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"marketing vice-president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"operations vice-president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,operations vice-president - satellite communication services ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,personal banking vice-president ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,personnel vice-president - bank ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"personnel vice-president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"planning vice-president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"president and chief executive officer - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,protective services executive director ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,real estate management company executive director ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"regional vice-president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,senior vice-president and chief economist ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"support services vice-president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,telecommunications general manager ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,treasury vice-president - banking institution ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,trust company general manager ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,trust company regional vice-president ,,,,
4,0013,"Senior managers - financial, communications and other business services",All examples,"vice-president - financial, communications and other business services ",,,,
4,0013,"Senior managers - financial, communications and other business services",Exclusion(s),Managers in communication (except broadcasting)  (See 013 Managers in communication (except broadcasting)),,,,
4,0013,"Senior managers - financial, communications and other business services",Exclusion(s),"Managers in engineering, architecture, science and information systems  (See 021 Managers in engineering, architecture, science and information systems)",,,,
4,0013,"Senior managers - financial, communications and other business services",Exclusion(s),Managers in financial and business services  (See 012 Managers in financial and business services),,,,
4,0013,"Senior managers - financial, communications and other business services",Main duties,This group performs some or all of the following duties: ,,,,
4,0013,"Senior managers - financial, communications and other business services",Main duties,"Determine the company's mission and strategic direction as conveyed through policies and concrete objectives which are met through the effective management of human, financial and material resources ",,,,
4,0013,"Senior managers - financial, communications and other business services",Main duties,Authorize and organize the establishment of major departments and associated senior staff positions ,,,,
4,0013,"Senior managers - financial, communications and other business services",Main duties,"Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall human resources planning ",,,,
4,0013,"Senior managers - financial, communications and other business services",Main duties,"Select middle managers, directors or other executive staff; delegate the necessary authority to them and create optimum working conditions ",,,,
4,0013,"Senior managers - financial, communications and other business services",Main duties,"Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions. ",,,,
4,0013,"Senior managers - financial, communications and other business services",Main duties,"Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in a particular service area. ",,,,
4,0013,"Senior managers - financial, communications and other business services",Employment requirements,"A university degree in business administration, commerce, computer science or other discipline related to the service provided is usually required. ",,,,
4,0013,"Senior managers - financial, communications and other business services",Employment requirements,"Several years of experience as a middle manager in financial, communications or other business services are usually required. ",,,,
4,0013,"Senior managers - financial, communications and other business services",Employment requirements,Specialization in a particular functional area or service is possible through specific university training in that area or through previous experience. ,,,,
4,0013,"Senior managers - financial, communications and other business services",Employment requirements,Senior managers in finance usually require a professional accounting designation. ,,,,
4,0013,"Senior managers - financial, communications and other business services",Additional information,There is mobility among senior management occupations. ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),arts and culture association chairperson ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),automobile association executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),business association president ,,,,
